source,target,amount,timestamp,hour_of_day,day_of_week,sender_timezone,local_hour
0x1891f7dafeb82763537513a55beb6ea299128863,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522532374.0,0,6,3,3
0xd792c5e24f83d5100c8b2d67c251e1baa2789676,0xa7b8edb0583b478e2b7c431feb4bc6629a6cd1e5,0.006281739781399207,1526140894.0,19,5,2,21
0xd792c5e24f83d5100c8b2d67c251e1baa2789676,0xbb1d293ac46180c7fe9eddd43c12e3e44d659e1d,0.00765909,1537742798.0,1,0,2,3
0x1bf6a356ee9288e1d49e053dbcbbe8c716dc238b,0x21f74c6bbc1e3ab9f0205e12de3a9daa14351aed,0.5,1526281713.0,10,0,0,10
0x60552cbd22fd2aa79cca90fc6f0694db84fa089c,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522576015.0,12,6,4,16
0x023f1b2175c37b94d11d50c778d9f3d5d9a0fd2e,0xf2bad87c0d0ea8bda69c722368df4f79d92ee6c9,0.001,1521554634.0,16,1,3,19
0xb35574135596ebccb3e6e82055eeefeea56df357,0x4b11d8ca056ca5a4ec3ba5789871fc37d1222395,11.397851591897878,1531237083.0,18,1,-6,12
0x6392b9b49c9a253fef5ce35118de46e3b6726ac6,0x44a7ff01f7d38c73530c279e19d31527bdcf8c78,0.38,1504188096.0,17,3,4,21
0x857d27b63cb4fde55ab840eaccdd8513ae1e324b,0x3f8a37bde9b15b65c82f9cdd00192e0ba36cc5fc,0.1896005631862896,1513799812.0,21,2,3,0
0xae92fc2a4b4425484ba7399d7a178c25ba7204b9,0xf2bad87c0d0ea8bda69c722368df4f79d92ee6c9,0.0,1523170187.0,9,6,0,9
0x6d3dbed8c03cc337a7da50fc7cc0f8794ac7febc,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1523458189.0,17,2,-3,14
0x6d3dbed8c03cc337a7da50fc7cc0f8794ac7febc,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1523459523.0,18,2,-3,15
0xc5b757a52b1dbb212f096475603c44fc41dfa89f,0x41466413f0c7f11c5b1af39cc1344af9d21a6d57,1.0,1524239680.0,18,4,2,20
0x436317f92ae854bca65109d1a772dcc03f4f9cae,0x20a7a56175872acf6d3a8566eb7af76e01900c84,1.0,1519197152.0,9,2,-3,6
0x661eadb499767c7acb35deadd42e222b4955f996,0x358ef89b4d37f16002cc4a853b321daeee423519,0.7,1518885077.0,18,5,-5,13
0x7949765cf6cc5df02bfad02b8d02e797921e5712,0x903bb9cd3a276d8f18fa6efed49b9bc52ccf06e5,0.004,1521543605.0,13,1,-2,11
0x7949765cf6cc5df02bfad02b8d02e797921e5712,0x903bb9cd3a276d8f18fa6efed49b9bc52ccf06e5,0.005,1521546381.0,13,1,-2,11
0x54bce023370844b31e52ade5e217037e2900317d,0x604da69d33a0df6414c30270434ba4e0e95d8cf6,0.00028,1531747688.0,16,0,-6,10
0xd7d333c60b1d973287a089c8b632bb90839bea35,0x21f74c6bbc1e3ab9f0205e12de3a9daa14351aed,0.15,1526592379.0,0,4,2,2
0x95ba7dc82295b3ad49c9b9a062a269410f6058c9,0x69a862e6f6837c2c4a74f53015e797855441e789,0.8818300885,1507155259.0,1,3,4,5
0xd7f1631ad1c4e20ed716e975881e0f0a2ea2144b,0x33bf8bde242216da572d6486d641ae0a18137306,2.0,1516263290.0,10,3,-5,5
0x3169f86536e378110a8583e9f3834ef08e458ebc,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522513007.0,19,5,0,19
0x3169f86536e378110a8583e9f3834ef08e458ebc,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522513229.0,19,5,0,19
0x3169f86536e378110a8583e9f3834ef08e458ebc,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522513393.0,19,5,0,19
0x3169f86536e378110a8583e9f3834ef08e458ebc,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522513584.0,19,5,0,19
0x316d1a95866d84ae4a5d783b4bc225ce06a1dcda,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522587368.0,15,6,-5,10
0xd1bbe3ba93ee3c57d8d97edcb63e43edfd267163,0xba83e9ce38b10522e3d6061a12779b7526839eda,0.01,1499595804.0,13,6,-3,10
0xd1bbe3ba93ee3c57d8d97edcb63e43edfd267163,0xba83e9ce38b10522e3d6061a12779b7526839eda,0.0,1499595804.0,13,6,-3,10
0xd1bbe3ba93ee3c57d8d97edcb63e43edfd267163,0xba83e9ce38b10522e3d6061a12779b7526839eda,0.0,1499596413.0,13,6,-3,10
0x9bcb0a9d99d815bb87ee3191b1399b1bcc46dc77,0xdb53ce480bac3ce96fdb79fae1156f80b6925e05,0.009018693945863897,1526043002.0,15,4,1,16
0xc186ff1286c875d87c9ae6d8cadaa69854f419c3,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522549579.0,5,6,-5,0
0x610d3409f5b3c45709d80fa447680f4a6e4e1554,0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,0.0,1522580388.0,13,6,3,16
0xdc9741aa2b64f230a1fc0f576006c35b49055d29,0xe4fd64c52452aa7933a26c63198b13ee6b87a3af,0.001,1519478788.0,15,5,-3,12
